airline,airlineLabel,countryLabel,hub,hubLabel,iataCode
http://www.wikidata.org/entity/Q2644271,Dirgantara Air Service,Indonesia,http://www.wikidata.org/entity/Q1032934,Bandar Udara Halim Perdanakusuma,
http://www.wikidata.org/entity/Q2139509,EastIndo,Indonesia,http://www.wikidata.org/entity/Q1032934,Bandar Udara Halim Perdanakusuma,-
http://www.wikidata.org/entity/Q968291,Express Air,Indonesia,http://www.wikidata.org/entity/Q49249,Bandar Udara Internasional Husein Sastranegara,
http://www.wikidata.org/entity/Q512468,Garuda Indonesia,Indonesia,http://www.wikidata.org/entity/Q263652,Bandar Udara Sultan Aji Muhammad Sulaiman,GA
http://www.wikidata.org/entity/Q5526953,Gatari Hutama Air Services,Indonesia,http://www.wikidata.org/entity/Q1032934,Bandar Udara Halim Perdanakusuma,
http://www.wikidata.org/entity/Q3106812,Indonesia Air Transport,Indonesia,http://www.wikidata.org/entity/Q1032934,Bandar Udara Halim Perdanakusuma,I8
http://www.wikidata.org/entity/Q745971,Indonesia AirAsia,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,QZ
http://www.wikidata.org/entity/Q18327499,Indonesia AirAsia X,Indonesia,http://www.wikidata.org/entity/Q1061846,Bandar Udara Internasional Ngurah Rai,
http://www.wikidata.org/entity/Q2607665,Indonesian Airlines,Indonesia,http://www.wikidata.org/entity/Q1457975,Bandar Udara Internasional Achmad Yani,
http://www.wikidata.org/entity/Q2079202,Jatayu Airlines,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q4561771,Jhonlin Air Transport,Indonesia,http://www.wikidata.org/entity/Q1432936,Bandar Udara Syamsudin Noor,
http://www.wikidata.org/entity/Q4209483,Kalstar Aviation,Indonesia,http://www.wikidata.org/entity/Q14168,Pontianak,
http://www.wikidata.org/entity/Q6354489,Kaltim Airlines,Indonesia,http://www.wikidata.org/entity/Q1927133,Bandar Udara Internasional Samarinda,
http://www.wikidata.org/entity/Q2405297,Kartika Airlines,Indonesia,http://www.wikidata.org/entity/Q1032934,Bandar Udara Halim Perdanakusuma,
http://www.wikidata.org/entity/Q2750369,Linus Airways,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q1056794,Lion Air,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,JT
http://www.wikidata.org/entity/Q1198815,Mandala Airlines,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q6753169,Manunggal Air Service,Indonesia,http://www.wikidata.org/entity/Q1032934,Bandar Udara Halim Perdanakusuma,
http://www.wikidata.org/entity/Q2913429,Megantara Air,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q619118,Merpati Nusantara Airlines,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q15984817,Nam Air,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,IN
http://www.wikidata.org/entity/Q7070157,Nurman Avia Indopura,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
http://www.wikidata.org/entity/Q12501056,Nusantara Air Charter,Indonesia,http://www.wikidata.org/entity/Q1032934,Bandar Udara Halim Perdanakusuma,
http://www.wikidata.org/entity/Q7122677,Pacific Royale Airways,Indonesia,http://www.wikidata.org/entity/Q1431631,Bandar Udara Internasional Juanda,RY
http://www.wikidata.org/entity/Q2197692,Pelita Air Service,Indonesia,http://www.wikidata.org/entity/Q2750353,Bandar Udara Pondok Cabe,
http://www.wikidata.org/entity/Q1756841,Riau Airlines,Indonesia,http://www.wikidata.org/entity/Q938233,Bandar Udara Internasional Sultan Syarif Kasim II,
http://www.wikidata.org/entity/Q7395892,Sabang Merauke Raya Air Charter,Indonesia,http://www.wikidata.org/entity/Q1332829,Bandar Udara Internasional Polonia,
http://www.wikidata.org/entity/Q4189342,Sempati Air,Indonesia,http://www.wikidata.org/entity/Q1061846,Bandar Udara Internasional Ngurah Rai,
http://www.wikidata.org/entity/Q2355987,Sky Aviation,Indonesia,http://www.wikidata.org/entity/Q1032934,Bandar Udara Halim Perdanakusuma,
http://www.wikidata.org/entity/Q619089,Sriwijaya Air,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,SJ
http://www.wikidata.org/entity/Q107472762,Super Air Jet,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,IU
http://www.wikidata.org/entity/Q3029196,Susi Air,Indonesia,http://www.wikidata.org/entity/Q2673757,Bandar Udara Internasional Sultan Iskandar Muda,SI
http://www.wikidata.org/entity/Q3537331,TransNusa Air Services,Indonesia,http://www.wikidata.org/entity/Q571612,Bandar Udara El Tari,
http://www.wikidata.org/entity/Q3246680,Travira Air,Indonesia,http://www.wikidata.org/entity/Q946179,Bandar Udara Mozes Kilangin,TR
http://www.wikidata.org/entity/Q2247269,Trigana Air Service,Indonesia,http://www.wikidata.org/entity/Q749497,Bandar Udara Internasional Soekarno-Hatta,
